account,amount,state,token address,pool address,tx id
0.0.8271908,48.80777333757224,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619655.556128915
0.0.7550890,0.4874756676356949,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1764619656.576839847
0.0.9275976,114.365385073787,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964795&0.0.3964804&0.0.3964827,0.0.4138717@1764619658.475375292
0.0.5118079,1.424767224858971,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1764619658.193697724
0.0.4363476,1.392703405669886,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619655.936592517
0.0.4702708,10.37982388324864,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964827,0.0.4138717@1764619656.509716138
0.0.4777259,0.2145196576861959,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619655.936749465
0.0.628683,0.2481634965604275,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619656.627990548
0.0.3918882,0.01652080086393263,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619654.602469912
0.0.6440477,0.1071975771307547,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1764619656.024152290
0.0.5687394,0.1512665401798489,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619662.742421178
0.0.4744252,0.006307416091659041,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619662.674469254
0.0.5310061,0.3951496550553615,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1764619660.175594018
0.0.5182107,0.1452827154905055,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1764619662.556329616
0.0.5119346,1.889194317026093,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1764619661.570910152
0.0.5118232,0.1557079116199732,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1764619662.446577766
0.0.10031122,0.0002119085790922952,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619662.956189111
0.0.1181772,0.08114924966908352,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.6126395,0.0.4138717@1764619662.402310060
0.0.4544530,74.5499855848627,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.5328590&0.0.6071041&0.0.6078459&0.0.6078473&0.0.7302964,0.0.4138717@1764619662.784460274
0.0.1096529,0.7810138327937513,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1764619665.931547603
0.0.1427613,0.3659071650054531,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619666.640851503
0.0.860058,700.9855073486102,SUCCESS,hbar,0.0.3948521&0.0.3964800&0.0.10018365,0.0.4138717@1764619667.526690474
0.0.1152713,3152.813765996455,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790,0.0.4138717@1764619665.049211562
0.0.1085174,128.8618255578948,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1764619668.392070088
0.0.1325925,127.9423981016232,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1764619664.497745765
0.0.7951,364.5333643935874,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3964804&0.0.3964855&0.0.5328590,0.0.4138717@1764619666.255163459
0.0.165981,0.00006221519134259716,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619667.320249362
0.0.1265153,0.002350796079781416,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964827&0.0.3964840,0.0.4138717@1764619669.547872506
0.0.3958740,9.18039664177525e-7,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619670.030963980
0.0.4423729,0.357052132736046,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1764619668.023557829
0.0.10031120,0.0002126981514400761,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619670.009677479
0.0.9723125,3.566481239968847,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1764619671.024750288
0.0.3210690,0.0795397389890796,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1764619673.916586720
0.0.2923216,2.08346259583447,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619669.946152826
0.0.3870061,10.80921887555398,SUCCESS,hbar,0.0.3948521&0.0.4601632,0.0.4138717@1764619673.376645992
0.0.428115,0.0000085381157270749,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619674.234932607
0.0.2964523,116.5826636782108,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808,0.0.4138717@1764619674.196435880
0.0.7965399,0.00002556182721073725,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619674.831196794
0.0.7965397,0.00006706728296944348,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619674.165627087
0.0.7950871,16.55417466857745,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964827,0.0.4138717@1764619675.953165191
0.0.862835,6.263357446974896,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964827&0.0.6071911&0.0.7474726,0.0.4138717@1764619673.573537270
0.0.7789171,4.282095017347123e-12,FAIL,hbar,0.0.3948521,
0.0.845031,0.00001375194641225128,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619674.305738578
0.0.7730513,0.00009700926715790306,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619678.328180534
0.0.1930336,98.5546210223641,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1764619675.567657288
0.0.4712184,0.01805170825214938,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964825&0.0.3964837&0.0.3964840,0.0.4138717@1764619675.441024787
0.0.1353334,0.1286913232689628,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1764619679.099624439
0.0.1105470,0.01665449065257455,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619678.647629912
0.0.4313767,0.01694362538423574,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619676.543139488
0.0.4865794,34.09183008822473,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619679.438951533
0.0.3971792,0.02594751628340622,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619678.232285507
0.0.4594562,6.063577111808,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964804,0.0.4138717@1764619679.479671462
0.0.6033605,0.0003235734872877837,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619680.222301485
0.0.720300,0.5007695683041626,SUCCESS,hbar,0.0.3948521,0.0.4138717@1764619681.245428500
0.0.942605,0.02603229480308591,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619680.712202327
0.0.9364762,0.8266534899241886,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.5328590,0.0.4138717@1764619680.770535380
0.0.1438402,0.003468975352330185,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619680.235805878
0.0.1274087,44.27889678565911,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1764619681.481873164
0.0.1120388,0.3082392062044635,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.5328590,0.0.4138717@1764619682.129855387
0.0.4352091,0.4492788843067712,SUCCESS,hbar,0.0.3951117&0.0.5328590,0.0.4138717@1764619685.536185156
0.0.1673276,0.2171288575544595,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1764619683.886675184
0.0.8638339,0.003545718436526886,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619686.917762670
0.0.4754443,0.02797311928606618,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.3964804,0.0.4138717@1764619687.165537675
0.0.1890696,0.2591459748072178,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1764619688.302200070
0.0.834663,5.065915117246023,SUCCESS,hbar,0.0.3951117&0.0.3964837,0.0.4138717@1764619684.636968742
0.0.8178759,0.000001106996063601747,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619687.881882713
0.0.8013259,70.12547860221606,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619688.327617403
0.0.5244199,0.105174859672658,SUCCESS,hbar,0.0.3951117&0.0.3964860,0.0.4138717@1764619687.251659724
0.0.1872630,2867.063516466058,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.3964860&0.0.4601632&0.0.5328590&0.0.6071119&0.0.7474726,0.0.4138717@1764619690.593374662
0.0.10076636,0.9877743979254747,SUCCESS,hbar,0.0.3951117&0.0.5328590,0.0.4138717@1764619690.115220312
0.0.1681033,0.00194512331441847,SUCCESS,hbar,0.0.3951117&0.0.3964827,0.0.4138717@1764619690.694036021
0.0.10125418,0.1402591404634655,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.3964795&0.0.3964827,0.0.4138717@1764619688.546260072
0.0.10122546,0.02339570791831692,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619692.726018794
0.0.1106819,3.133984205163241,SUCCESS,hbar,0.0.3951117&0.0.3964860,0.0.4138717@1764619691.032709391
0.0.896788,475.2747866048363,SUCCESS,hbar,0.0.3951117&0.0.3964827,0.0.4138717@1764619690.704714059
0.0.10032368,0.001124984850060624,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619693.357114523
0.0.3303390,0.0001884930636178024,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619693.997192265
0.0.139500,3.420240432978066,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.3964860,0.0.4138717@1764619690.831196469
0.0.914261,4.96201837978932,SUCCESS,hbar,0.0.3951117&0.0.3961531&0.0.5328590,0.0.4138717@1764619693.543809108
0.0.735239,0.00001102327860398713,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619693.203204702
0.0.4558891,0.9036258692369163,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619691.872251242
0.0.5976303,0.1001055315566803,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1764619695.797571535
0.0.4318411,1.236679957143282,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619696.261770091
0.0.3681428,174.6221520765545,SUCCESS,hbar,0.0.3951117&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964834&0.0.3964837&0.0.3964840,0.0.4138717@1764619697.219034283
0.0.4329852,9.177020349953262,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.3964827&0.0.3964855&0.0.4601632&0.0.5328590&0.0.7474726,0.0.4138717@1764619695.040469981
0.0.6043615,0.6493654652626383,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.3964827&0.0.3964855&0.0.3964840&0.0.5328590&0.0.6071041,0.0.4138717@1764619696.213935885
0.0.5975196,0.09068583291965857,SUCCESS,hbar,0.0.3951117&0.0.4601632,0.0.4138717@1764619697.570336860
0.0.3969243,0.008875166042253833,SUCCESS,hbar,0.0.3951117&0.0.4129330,0.0.4138717@1764619699.566567071
0.0.4732964,0.02798067103816919,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619699.012634002
0.0.4432149,0.07019292702965704,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619696.442729023
0.0.2930231,0.07336309491564888,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1764619698.819147935
0.0.4968045,0.6396866746251746,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619696.889656539
0.0.4797427,1.208711692858116,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619701.019631452
0.0.4322002,0.09835321610219952,SUCCESS,hbar,0.0.3951117,0.0.4138717@1764619701.521031667
